STATE,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on Women,Insult to Modesty of Women,Cruelty by Husband or His Relatives
UTTAR PRADESH,SIDHARTHNAGAR,2011,9,42,17,21,0,29
UTTAR PRADESH,SITAPUR,2011,66,202,60,131,0,138
UTTAR PRADESH,SONBHADRA,2011,19,21,8,21,0,16
UTTAR PRADESH,ST.RAVIDASNAGAR,2011,2,6,11,3,0,10
UTTAR PRADESH,SULTANPUR,2011,21,46,14,23,0,58
UTTAR PRADESH,UNNAO,2011,36,104,30,66,0,85
UTTAR PRADESH,VARANASI,2011,11,76,41,17,0,136
UTTAR PRADESH,TOTAL,2011,2042,7525,2322,3455,3,7121
UTTARAKHAND,ALMORA,2011,3,2,6,4,0,6
UTTARAKHAND,BAGESHWAR,2011,2,2,2,2,1,4
UTTARAKHAND,CHAMOLI,2011,2,1,0,2,0,2
UTTARAKHAND,CHAMPAWAT,2011,4,3,0,2,0,4
UTTARAKHAND,DEHRADUN,2011,31,47,10,16,38,101
UTTARAKHAND,HARIDWAR,2011,26,75,22,30,22,58
UTTARAKHAND,NAINITAL,2011,10,24,15,4,5,19
UTTARAKHAND,PAURI GARHWAL,2011,1,4,2,6,1,6
UTTARAKHAND,PITHORAGARH,2011,9,4,5,8,0,5
UTTARAKHAND,RUDRA PRAYAG,2011,3,4,3,6,3,6
UTTARAKHAND,TEHRI GARHWAL,2011,3,1,1,1,0,1
UTTARAKHAND,UDHAMSINGH NAGAR,2011,31,114,17,33,0,94
UTTARAKHAND,UTTARKASHI,2011,4,2,0,2,2,1
UTTARAKHAND,TOTAL,2011,129,283,83,116,72,307
WEST BENGAL,24 PARGANAS NORTH,2011,203,414,88,218,10,2847
WEST BENGAL,24 PARGANAS SOUTH,2011,274,349,43,121,3,2793
WEST BENGAL,ASANSOL,2011,31,50,10,30,7,461
WEST BENGAL,BANKURA,2011,44,36,16,83,1,195
WEST BENGAL,BIRBHUM,2011,44,51,25,63,0,337
WEST BENGAL,BURDWAN,2011,52,83,16,21,0,665
WEST BENGAL,COOCHBEHAR,2011,133,174,25,76,0,494
WEST BENGAL,DAKSHIN DINAJPUR,2011,55,111,11,77,5,283
WEST BENGAL,DARJEELING,2011,49,88,4,51,6,337
WEST BENGAL,HOOGHLY,2011,54,109,21,38,0,816
WEST BENGAL,HOWRAH,2011,35,114,26,75,16,644
WEST BENGAL,HOWRAH CITY,2011,24,103,2,2,0,411
WEST BENGAL,HOWRAH G.R.P.,2011,1,6,0,5,0,1
WEST BENGAL,JALPAIGURI,2011,211,257,13,223,0,947
WEST BENGAL,KHARAGPUR G.R.P.,2011,0,0,0,5,0,1
WEST BENGAL,KOLKATA,2011,46,116,11,254,144,557
WEST BENGAL,MALDA,2011,179,202,14,38,0,762
WEST BENGAL,MURSHIDABAD,2011,433,492,49,621,5,2956
WEST BENGAL,NADIA,2011,185,453,65,128,2,1923
WEST BENGAL,PASCHIM MIDNAPUR,2011,53,141,27,89,0,803
WEST BENGAL,PURAB MIDNAPUR,2011,65,156,22,18,0,835
WEST BENGAL,PURULIA,2011,65,52,3,64,0,197
WEST BENGAL,SEALDAH G.R.P.,2011,1,4,0,7,0,1
WEST BENGAL,SILIGURI G.R.P.,2011,0,1,0,4,0,0
WEST BENGAL,UTTAR DINAJPUR,2011,126,149,19,52,1,506
WEST BENGAL,TOTAL,2011,2363,3711,510,2363,200,19772
A & N ISLANDS,ANDAMAN,2011,13,12,0,14,3,5
A & N ISLANDS,NICOBAR,2011,0,0,0,1,0,0
A & N ISLANDS,TOTAL,2011,13,12,0,15,3,5
CHANDIGARH,CHANDIGARH,2011,27,46,2,21,12,46
CHANDIGARH,TOTAL,2011,27,46,2,21,12,46
D & N HAVELI,D and N HAVELI,2011,4,8,0,2,0,3
D & N HAVELI,TOTAL,2011,4,8,0,2,0,3
DAMAN & DIU,DAMAN,2011,1,1,0,0,0,2
DAMAN & DIU,DIU,2011,0,1,0,0,0,0
DAMAN & DIU,TOTAL,2011,1,2,0,0,0,2
DELHI,CAW,2011,1,0,0,1,0,128
DELHI,CENTRAL,2011,16,89,3,32,4,29
DELHI,CRIME BRANCH,2011,1,0,0,0,0,0
DELHI,TOTAL,2011,572,2085,142,657,162,1575
DELHI,EAST,2011,55,226,14,78,17,160
DELHI,EOW,2011,0,0,0,0,0,0
DELHI,GRP(RLY),2011,4,10,1,7,1,0
DELHI,IGI AIRPORT,2011,0,0,0,8,2,0
DELHI,NEW DELHI,2011,2,17,1,17,12,5
DELHI,NORTH,2011,11,84,4,15,10,88
DELHI,NORTH-EAST,2011,69,285,21,88,21,254
DELHI,NORTH-WEST,2011,58,177,10,48,13,117
DELHI,OUTER,2011,73,328,34,65,3,196
DELHI,SOUTH,2011,65,143,11,50,29,59
DELHI,SOUTH-EAST,2011,75,234,19,127,32,108
DELHI,SOUTH-WEST,2011,69,238,11,56,10,144
DELHI,STF,2011,0,0,0,0,0,0
DELHI,WEST,2011,73,254,13,65,8,287
LAKSHADWEEP,LAKSHADWEEP,2011,0,0,0,0,0,0
LAKSHADWEEP,TOTAL,2011,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2011,0,0,0,10,4,1
PUDUCHERRY,PUDUCHERRY,2011,7,9,1,25,12,9
PUDUCHERRY,TOTAL,2011,7,9,1,35,16,10
