STATE,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on Women,Insult to Modesty of Women,Cruelty by Husband or His Relatives
Tamil Nadu,2007,523,1097,208,1540,875,1976
Tripura,2007,157,81,36,244,4,545
Uttar Pradesh,2007,1648,3363,2076,2522,2882,7650
Uttarakhand,2007,117,227,70,146,63,463
West Bengal,2007,2106,1590,451,2281,99,9900
A and N Islands,2007,3,9,1,21,2,18
Chandigarh,2007,22,46,1,32,11,112
Delhi,2007,598,1167,138,868,167,1787
Puducherry,2007,9,14,2,89,32,17
Andhra Pradesh,2008,1257,1396,556,4730,3551,10306
Arunachal Pradesh,2008,42,47,0,72,1,13
Assam,2008,1438,1789,103,1272,2,3478
Bihar,2008,1302,1789,1210,999,21,1992
Chhattisgarh,2008,978,216,106,1621,125,897
Goa,2008,30,28,2,32,12,12
Gujarat,2008,374,1119,27,828,122,6094
Haryana,2008,631,644,302,435,605,2435
Himachal Pradesh,2008,157,137,3,295,41,343
Jammu and Kashmir,2008,219,656,21,935,296,162
Jharkhand,2008,791,499,266,271,23,851
Karnataka,2008,446,405,259,1954,44,2638
Kerala,2008,568,166,31,2745,258,4138
Madhya Pradesh,2008,2937,736,805,6445,758,3185
Maharashtra,2008,1558,998,390,3619,1091,7829
Manipur,2008,38,87,1,57,0,28
Meghalaya,2008,88,25,2,54,4,32
Mizoram,2008,77,1,0,78,0,5
Nagaland,2008,19,7,0,15,1,4
Odisha,2008,1113,762,401,2782,282,1618
Punjab,2008,517,514,128,388,49,984
Rajasthan,2008,1355,1863,439,2520,19,8113
Sikkim,2008,20,4,0,19,0,5
Tamil Nadu,2008,573,1160,207,1705,974,1648
Tripura,2008,204,110,16,346,4,735
Uttar Pradesh,2008,1871,4439,2237,2955,3374,8312
Uttarakhand,2008,87,222,73,120,306,340
West Bengal,2008,2263,1907,451,2396,94,13663
A and N Islands,2008,12,13,2,24,3,26
Chandigarh,2008,20,42,3,19,2,49
Delhi,2008,466,1136,129,611,130,1387
Puducherry,2008,8,9,2,65,21,12
Andhra Pradesh,2009,1188,1526,546,5147,3520,11297
Arunachal Pradesh,2009,59,28,0,58,6,13
Assam,2009,1631,2092,170,1342,10,4398
Bihar,2009,929,1986,1295,726,12,2532
Chhattisgarh,2009,976,229,128,1598,152,893
Goa,2009,47,22,3,37,10,21
Gujarat,2009,433,1162,24,727,114,5506
Haryana,2009,603,659,281,451,605,2617
Himachal Pradesh,2009,183,122,1,318,37,284
Jammu and Kashmir,2009,237,825,12,972,371,196
Jharkhand,2009,719,517,295,276,83,710
Karnataka,2009,509,408,264,2186,64,3185
Kerala,2009,568,173,20,2540,395,4007
Madhya Pradesh,2009,2998,841,858,6307,728,3983
Maharashtra,2009,1483,926,341,3196,1099,7681
Manipur,2009,31,97,0,39,2,25
Meghalaya,2009,112,26,0,72,1,24
Mizoram,2009,83,0,0,61,1,4
Nagaland,2009,22,10,0,11,0,0
Odisha,2009,1023,799,384,2697,210,2047
Punjab,2009,511,513,126,319,33,1061
Rajasthan,2009,1519,2310,436,2485,24,10371
Sikkim,2009,18,6,0,10,0,6
Tamil Nadu,2009,596,1133,194,1242,501,1460
Tripura,2009,190,92,29,384,5,815
Uttar Pradesh,2009,1759,5078,2232,2782,2524,8566
Uttarakhand,2009,111,247,94,119,249,361
West Bengal,2009,2336,2187,506,1942,108,16112
A and N Islands,2009,18,14,1,30,7,21
Chandigarh,2009,29,36,2,26,2,51
Delhi,2009,469,1655,141,552,118,1283
Puducherry,2009,1,13,0,53,16,10
Andhra Pradesh,2010,1362,1531,588,4634,4562,12080
Arunachal Pradesh,2010,47,46,0,84,1,12
Assam,2010,1721,2767,175,1400,20,5410
Bihar,2010,795,2569,1257,534,16,2271
Chhattisgarh,2010,1012,279,115,1706,182,861
Goa,2010,36,18,1,36,16,17
Gujarat,2010,408,1290,19,668,110,5600
Haryana,2010,720,714,284,476,580,2720
Himachal Pradesh,2010,160,162,2,350,78,275
Jammu and Kashmir,2010,245,840,9,1038,262,211
Jharkhand,2010,773,696,276,245,16,650
Karnataka,2010,586,586,248,2544,83,3441
Kerala,2010,634,184,22,2936,537,4797
Madhya Pradesh,2010,3135,1030,892,6646,918,3756
Maharashtra,2010,1599,1124,393,3661,1180,7434
Manipur,2010,34,107,0,31,0,18
Meghalaya,2010,149,37,0,48,0,24
Mizoram,2010,92,0,0,75,0,3
Nagaland,2010,16,6,0,13,3,1
Odisha,2010,1025,912,388,2905,232,2067
Punjab,2010,546,576,121,349,38,1163
Rajasthan,2010,1571,2477,462,2339,23,11145
Sikkim,2010,18,6,1,11,0,3
Tamil Nadu,2010,686,1464,165,1405,638,1570
Tripura,2010,238,91,25,376,9,937
Uttar Pradesh,2010,1563,5468,2217,2793,11,7978
Uttarakhand,2010,121,249,75,125,165,334
West Bengal,2010,2311,2764,507,2465,163,17796
A and N Islands,2010,24,8,0,31,10,9
Chandigarh,2010,31,28,5,29,4,41
Delhi,2010,507,1740,143,601,80,1404
Puducherry,2010,3,14,1,46,22,7
Andhra Pradesh,2011,1442,1612,599,4849,3658,13376
Arunachal Pradesh,2011,42,60,0,51,0,18
Assam,2011,1700,3192,121,1193,8,5246
Bihar,2011,934,3050,1413,790,11,2607
Chhattisgarh,2011,1053,365,104,1654,174,834
Goa,2011,29,17,1,29,12,18
Gujarat,2011,439,1442,30,685,93,6052
Haryana,2011,733,733,255,474,490,2740
Himachal Pradesh,2011,168,191,4,331,62,239
Jammu and Kashmir,2011,277,1023,11,1194,350,286
Jharkhand,2011,784,660,282,317,7,659
Karnataka,2011,636,715,267,2608,81,3712
Kerala,2011,1132,221,15,3756,573,5377
Madhya Pradesh,2011,3406,1088,811,6665,762,3732
Maharashtra,2011,1701,1252,339,3794,1071,7136
Manipur,2011,53,116,1,38,0,39
Meghalaya,2011,130,37,1,74,1,21
Mizoram,2011,77,0,0,72,1,9
Nagaland,2011,23,3,0,9,0,1
Odisha,2011,1112,1008,465,3207,235,2320
Punjab,2011,479,517,143,282,31,1136
Rajasthan,2011,1800,2713,514,2447,9,12218
Sikkim,2011,16,10,0,24,0,4
Tamil Nadu,2011,677,1743,152,1467,464,1812
Tripura,2011,205,116,30,294,9,702
Uttar Pradesh,2011,2042,7525,2322,3455,3,7121
Uttarakhand,2011,129,283,83,116,72,307
West Bengal,2011,2363,3711,510,2363,200,19772
A and N Islands,2011,13,12,0,15,3,5
Chandigarh,2011,27,46,2,21,12,46
Delhi,2011,572,2085,142,657,162,1575
Puducherry,2011,7,9,1,35,16,10
